BallotName
Anderson, Elliot
Toomin, Lou
Welsh, Darren
Parks, David
Wernicke, Toni
Carrillo, Richard A.
Mosca, Erica
DeCorte, Christine
LYNN, GREG
GODECKE, FRANK
CHESSELL, KAREN
BYER, B. KEITH
KIGER, MICHAEL EUGENE
SHEPACK, NICHOLAS
FREITAS, NEAL
ALLGEIER, BOB
BARATTI-SALLANI, PATTY
BUNTING, TIM
SMALLWOOD, BARBARA S.
WILCOX, CRAIG
DALLING, JEFF
KARR, JON
SACRISON, RALPH
GOICOECHEA, ELIAS "CHOCH"
LEHMANN, WILLIAM
LEIKER, WADE
LOREMAN, DAVID
MIERINS, ANDREW M.
PARKER, DENNIS W.
DASTRUP, TERESA
KIRBY, WILLIAM C.
POLMAN, KENNY
WINSOR, DELON "DE"
PASTORINO, ERIC J.
BREITRICK, JAMES A.
LEPPALA, BILL
BURNHAM, ROBERT E.
HICKS, DAVID W.
IZZOLO, JAMES
ANDERSON, BRANDI
CONLEY, LYNN
MARTIN, JORI
FIORENZI, LEONARD
CHATFIELD, KEVIN
BELL, MIKE
DOLPHIN, DENISE K.
HAMMARGREN, WILLIAM "BILL"
JACOBSEN, BARBARA A.
LECUMBERRY-UHLMANN, SABRINA
BETTERIDGE, BOYD
BRAGINTON, BRUCE L.
BAKKER, GERRIT
HELMING, DEE
WAITS, PATSY ANN
ALLAN, JUDIE
CARR, RICK
MYERS, MARK
NANNEY, AL
DIAS, ELIZABETH
OSTLER, KAYLA A.
STATON, DOUGLAS S., III
WELLS, BONNIE
